id,tokens,ner_tags,text,tokens_tags,ner_text,prompts
10620,['Halftime' '1-0' '.'],"['O', 'O', 'O']",Halftime 1-0 .,"['Halftime(O)', '1-0(O)', '.(O)']",Halftime(O) 1-0(O) .(O),"Input: Halftime 1-0 .
Output: Halftime(O) 1-0(O) .(O)"
5986,['WELLINGTON' '1996-08-26'],"['B-Location', 'O']",WELLINGTON 1996-08-26,"['WELLINGTON(B-Location)', '1996-08-26(O)']",WELLINGTON(B-Location) 1996-08-26(O),"Input: WELLINGTON 1996-08-26
Output: WELLINGTON(B-Location) 1996-08-26(O)"
4325,"['With' 'Democrats' 'gathering' 'in' 'Chicago' 'to' 'start' 'a'
 'convention' 'on' 'Monday' 'to' 'nominate' 'him' 'for' 'a' 'second'
 'term' 'as' 'president' ',' 'Clinton' 'plans' 'a' 'steady' 'parade' 'of'
 'events' 'designed' 'to' 'highlight' 'his' 'leadership' 'and' 'dim' 'the'
 'glow' 'of' 'the' 'just-concluded' 'Republican' 'conclave' 'that' 'gave'
 'a' 'boost' 'to' 'rival' 'Bob' 'Dole' '.']","['O', 'B-Miscellaneous', 'O', 'O', 'B-Location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Miscellaneous', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Person', 'I-Person', 'O']","With Democrats gathering in Chicago to start a convention on Monday to nominate him for a second term as president , Clinton plans a steady parade of events designed to highlight his leadership and dim the glow of the just-concluded Republican conclave that gave a boost to rival Bob Dole .","['With(O)', 'Democrats(B-Miscellaneous)', 'gathering(O)', 'in(O)', 'Chicago(B-Location)', 'to(O)', 'start(O)', 'a(O)', 'convention(O)', 'on(O)', 'Monday(O)', 'to(O)', 'nominate(O)', 'him(O)', 'for(O)', 'a(O)', 'second(O)', 'term(O)', 'as(O)', 'president(O)', ',(O)', 'Clinton(B-Person)', 'plans(O)', 'a(O)', 'steady(O)', 'parade(O)', 'of(O)', 'events(O)', 'designed(O)', 'to(O)', 'highlight(O)', 'his(O)', 'leadership(O)', 'and(O)', 'dim(O)', 'the(O)', 'glow(O)', 'of(O)', 'the(O)', 'just-concluded(O)', 'Republican(B-Miscellaneous)', 'conclave(O)', 'that(O)', 'gave(O)', 'a(O)', 'boost(O)', 'to(O)', 'rival(O)', 'Bob(B-Person)', 'Dole(I-Person)', '.(O)']","With(O) Democrats(B-Miscellaneous) gathering(O) in(O) Chicago(B-Location) to(O) start(O) a(O) convention(O) on(O) Monday(O) to(O) nominate(O) him(O) for(O) a(O) second(O) term(O) as(O) president(O) ,(O) Clinton(B-Person) plans(O) a(O) steady(O) parade(O) of(O) events(O) designed(O) to(O) highlight(O) his(O) leadership(O) and(O) dim(O) the(O) glow(O) of(O) the(O) just-concluded(O) Republican(B-Miscellaneous) conclave(O) that(O) gave(O) a(O) boost(O) to(O) rival(O) Bob(B-Person) Dole(I-Person) .(O)","Input: With Democrats gathering in Chicago to start a convention on Monday to nominate him for a second term as president , Clinton plans a steady parade of events designed to highlight his leadership and dim the glow of the just-concluded Republican conclave that gave a boost to rival Bob Dole .
Output: With(O) Democrats(B-Miscellaneous) gathering(O) in(O) Chicago(B-Location) to(O) start(O) a(O) convention(O) on(O) Monday(O) to(O) nominate(O) him(O) for(O) a(O) second(O) term(O) as(O) president(O) ,(O) Clinton(B-Person) plans(O) a(O) steady(O) parade(O) of(O) events(O) designed(O) to(O) highlight(O) his(O) leadership(O) and(O) dim(O) the(O) glow(O) of(O) the(O) just-concluded(O) Republican(B-Miscellaneous) conclave(O) that(O) gave(O) a(O) boost(O) to(O) rival(O) Bob(B-Person) Dole(I-Person) .(O)"
7704,"['Reagan' 'recovered' 'fully' 'from' 'his' 'wounds' 'but' 'Brady' ','
 'who' 'was' 'close' 'to' 'death' 'after' 'being' 'shot' 'by' 'John'
 'Hinckley' 'Jr' '.']","['B-Person', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Person', 'I-Person', 'I-Person', 'O']","Reagan recovered fully from his wounds but Brady , who was close to death after being shot by John Hinckley Jr .","['Reagan(B-Person)', 'recovered(O)', 'fully(O)', 'from(O)', 'his(O)', 'wounds(O)', 'but(O)', 'Brady(B-Person)', ',(O)', 'who(O)', 'was(O)', 'close(O)', 'to(O)', 'death(O)', 'after(O)', 'being(O)', 'shot(O)', 'by(O)', 'John(B-Person)', 'Hinckley(I-Person)', 'Jr(I-Person)', '.(O)']","Reagan(B-Person) recovered(O) fully(O) from(O) his(O) wounds(O) but(O) Brady(B-Person) ,(O) who(O) was(O) close(O) to(O) death(O) after(O) being(O) shot(O) by(O) John(B-Person) Hinckley(I-Person) Jr(I-Person) .(O)","Input: Reagan recovered fully from his wounds but Brady , who was close to death after being shot by John Hinckley Jr .
Output: Reagan(B-Person) recovered(O) fully(O) from(O) his(O) wounds(O) but(O) Brady(B-Person) ,(O) who(O) was(O) close(O) to(O) death(O) after(O) being(O) shot(O) by(O) John(B-Person) Hinckley(I-Person) Jr(I-Person) .(O)"
7070,"['""' 'The' 'biggest' 'thing' 'was' 'my' 'fastball' ',' 'I' 'was' 'able'
 'to' 'rotate' 'it' 'pretty' 'good' ',' '""' 'Foster' 'said' '.' '""']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Person', 'O', 'O', 'O']",""" The biggest thing was my fastball , I was able to rotate it pretty good , "" Foster said . ""","['""(O)', 'The(O)', 'biggest(O)', 'thing(O)', 'was(O)', 'my(O)', 'fastball(O)', ',(O)', 'I(O)', 'was(O)', 'able(O)', 'to(O)', 'rotate(O)', 'it(O)', 'pretty(O)', 'good(O)', ',(O)', '""(O)', 'Foster(B-Person)', 'said(O)', '.(O)', '""(O)']","""(O) The(O) biggest(O) thing(O) was(O) my(O) fastball(O) ,(O) I(O) was(O) able(O) to(O) rotate(O) it(O) pretty(O) good(O) ,(O) ""(O) Foster(B-Person) said(O) .(O) ""(O)","Input: "" The biggest thing was my fastball , I was able to rotate it pretty good , "" Foster said . ""
Output: ""(O) The(O) biggest(O) thing(O) was(O) my(O) fastball(O) ,(O) I(O) was(O) able(O) to(O) rotate(O) it(O) pretty(O) good(O) ,(O) ""(O) Foster(B-Person) said(O) .(O) ""(O)"
12138,['REUTER'],['B-Person'],REUTER,['REUTER(B-Person)'],REUTER(B-Person),"Input: REUTER
Output: REUTER(B-Person)"
10153,['2.' 'Andrea' 'Collinelli' '(' 'Italy' ')' '4:17.696'],"['O', 'B-Person', 'I-Person', 'O', 'B-Location', 'O', 'O']",2. Andrea Collinelli ( Italy ) 4:17.696,"['2.(O)', 'Andrea(B-Person)', 'Collinelli(I-Person)', '((O)', 'Italy(B-Location)', ')(O)', '4:17.696(O)']",2.(O) Andrea(B-Person) Collinelli(I-Person) ((O) Italy(B-Location) )(O) 4:17.696(O),"Input: 2. Andrea Collinelli ( Italy ) 4:17.696
Output: 2.(O) Andrea(B-Person) Collinelli(I-Person) ((O) Italy(B-Location) )(O) 4:17.696(O)"
7088,"['Wall' '(' '8-4' ')' 'allowed' 'three' 'hits' ',' 'walked' 'two' 'and'
 'struck' 'out' 'seven' 'as' 'the' 'Astros' 'moved' '1-1/2' 'games'
 'ahead' 'of' 'the' 'Cardinals' 'for' 'the' 'lead' 'in' 'the' 'National'
 'League' 'Central' '.']","['B-Person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Organization', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Organization', 'O', 'O', 'O', 'O', 'O', 'B-Miscellaneous', 'I-Miscellaneous', 'I-Miscellaneous', 'O']","Wall ( 8-4 ) allowed three hits , walked two and struck out seven as the Astros moved 1-1/2 games ahead of the Cardinals for the lead in the National League Central .","['Wall(B-Person)', '((O)', '8-4(O)', ')(O)', 'allowed(O)', 'three(O)', 'hits(O)', ',(O)', 'walked(O)', 'two(O)', 'and(O)', 'struck(O)', 'out(O)', 'seven(O)', 'as(O)', 'the(O)', 'Astros(B-Organization)', 'moved(O)', '1-1/2(O)', 'games(O)', 'ahead(O)', 'of(O)', 'the(O)', 'Cardinals(B-Organization)', 'for(O)', 'the(O)', 'lead(O)', 'in(O)', 'the(O)', 'National(B-Miscellaneous)', 'League(I-Miscellaneous)', 'Central(I-Miscellaneous)', '.(O)']","Wall(B-Person) ((O) 8-4(O) )(O) allowed(O) three(O) hits(O) ,(O) walked(O) two(O) and(O) struck(O) out(O) seven(O) as(O) the(O) Astros(B-Organization) moved(O) 1-1/2(O) games(O) ahead(O) of(O) the(O) Cardinals(B-Organization) for(O) the(O) lead(O) in(O) the(O) National(B-Miscellaneous) League(I-Miscellaneous) Central(I-Miscellaneous) .(O)","Input: Wall ( 8-4 ) allowed three hits , walked two and struck out seven as the Astros moved 1-1/2 games ahead of the Cardinals for the lead in the National League Central .
Output: Wall(B-Person) ((O) 8-4(O) )(O) allowed(O) three(O) hits(O) ,(O) walked(O) two(O) and(O) struck(O) out(O) seven(O) as(O) the(O) Astros(B-Organization) moved(O) 1-1/2(O) games(O) ahead(O) of(O) the(O) Cardinals(B-Organization) for(O) the(O) lead(O) in(O) the(O) National(B-Miscellaneous) League(I-Miscellaneous) Central(I-Miscellaneous) .(O)"
9097,"['He' 'said' 'the' 'note' ',' 'believed' 'to' 'have' 'been' 'hand-written'
 'in' 'Spanish' 'and' 'signed' 'by' 'the' 'victims' ',' 'was' 'addressed'
 'to' 'Ebe' 'Huizinga' ',' 'another' 'Dutch' 'citizen' 'who' 'owns' 'the'
 'tree' 'plantation' '.' '""']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Miscellaneous', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Person', 'I-Person', 'O', 'O', 'B-Miscellaneous', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","He said the note , believed to have been hand-written in Spanish and signed by the victims , was addressed to Ebe Huizinga , another Dutch citizen who owns the tree plantation . ""","['He(O)', 'said(O)', 'the(O)', 'note(O)', ',(O)', 'believed(O)', 'to(O)', 'have(O)', 'been(O)', 'hand-written(O)', 'in(O)', 'Spanish(B-Miscellaneous)', 'and(O)', 'signed(O)', 'by(O)', 'the(O)', 'victims(O)', ',(O)', 'was(O)', 'addressed(O)', 'to(O)', 'Ebe(B-Person)', 'Huizinga(I-Person)', ',(O)', 'another(O)', 'Dutch(B-Miscellaneous)', 'citizen(O)', 'who(O)', 'owns(O)', 'the(O)', 'tree(O)', 'plantation(O)', '.(O)', '""(O)']","He(O) said(O) the(O) note(O) ,(O) believed(O) to(O) have(O) been(O) hand-written(O) in(O) Spanish(B-Miscellaneous) and(O) signed(O) by(O) the(O) victims(O) ,(O) was(O) addressed(O) to(O) Ebe(B-Person) Huizinga(I-Person) ,(O) another(O) Dutch(B-Miscellaneous) citizen(O) who(O) owns(O) the(O) tree(O) plantation(O) .(O) ""(O)","Input: He said the note , believed to have been hand-written in Spanish and signed by the victims , was addressed to Ebe Huizinga , another Dutch citizen who owns the tree plantation . ""
Output: He(O) said(O) the(O) note(O) ,(O) believed(O) to(O) have(O) been(O) hand-written(O) in(O) Spanish(B-Miscellaneous) and(O) signed(O) by(O) the(O) victims(O) ,(O) was(O) addressed(O) to(O) Ebe(B-Person) Huizinga(I-Person) ,(O) another(O) Dutch(B-Miscellaneous) citizen(O) who(O) owns(O) the(O) tree(O) plantation(O) .(O) ""(O)"
9856,"['A' 'federation' 'official' 'added' 'that' 'the' 'half-year' 'through'
 'September' '1996' 'also' 'appeared' 'likely' 'to' 'set' 'a' 'new'
 'record' 'for' 'can' 'production' ',' 'despite' 'cooler' 'temperatures'
 'in' 'August' '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","A federation official added that the half-year through September 1996 also appeared likely to set a new record for can production , despite cooler temperatures in August .","['A(O)', 'federation(O)', 'official(O)', 'added(O)', 'that(O)', 'the(O)', 'half-year(O)', 'through(O)', 'September(O)', '1996(O)', 'also(O)', 'appeared(O)', 'likely(O)', 'to(O)', 'set(O)', 'a(O)', 'new(O)', 'record(O)', 'for(O)', 'can(O)', 'production(O)', ',(O)', 'despite(O)', 'cooler(O)', 'temperatures(O)', 'in(O)', 'August(O)', '.(O)']","A(O) federation(O) official(O) added(O) that(O) the(O) half-year(O) through(O) September(O) 1996(O) also(O) appeared(O) likely(O) to(O) set(O) a(O) new(O) record(O) for(O) can(O) production(O) ,(O) despite(O) cooler(O) temperatures(O) in(O) August(O) .(O)","Input: A federation official added that the half-year through September 1996 also appeared likely to set a new record for can production , despite cooler temperatures in August .
Output: A(O) federation(O) official(O) added(O) that(O) the(O) half-year(O) through(O) September(O) 1996(O) also(O) appeared(O) likely(O) to(O) set(O) a(O) new(O) record(O) for(O) can(O) production(O) ,(O) despite(O) cooler(O) temperatures(O) in(O) August(O) .(O)"
