id,tokens,ner_tags,text,tokens_tags,ner_text,prompts
2969,['LISTING' 'DDF' 'FFT' 'STG' 'MIN' 'EXER' 'LOT' '100'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",LISTING DDF FFT STG MIN EXER LOT 100,"['LISTING(O)', 'DDF(O)', 'FFT(O)', 'STG(O)', 'MIN(O)', 'EXER(O)', 'LOT(O)', '100(O)']",LISTING(O) DDF(O) FFT(O) STG(O) MIN(O) EXER(O) LOT(O) 100(O),"Input: LISTING DDF FFT STG MIN EXER LOT 100
Output: LISTING(O) DDF(O) FFT(O) STG(O) MIN(O) EXER(O) LOT(O) 100(O)"
3171,"['""' 'An' 'improvement' 'is' 'expected' 'in' 'capacity' 'utilisation' ','
 'turnover' 'and' 'profits' ',' '""' 'the' 'company' 'said' 'in' 'a'
 'statement' '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",""" An improvement is expected in capacity utilisation , turnover and profits , "" the company said in a statement .","['""(O)', 'An(O)', 'improvement(O)', 'is(O)', 'expected(O)', 'in(O)', 'capacity(O)', 'utilisation(O)', ',(O)', 'turnover(O)', 'and(O)', 'profits(O)', ',(O)', '""(O)', 'the(O)', 'company(O)', 'said(O)', 'in(O)', 'a(O)', 'statement(O)', '.(O)']","""(O) An(O) improvement(O) is(O) expected(O) in(O) capacity(O) utilisation(O) ,(O) turnover(O) and(O) profits(O) ,(O) ""(O) the(O) company(O) said(O) in(O) a(O) statement(O) .(O)","Input: "" An improvement is expected in capacity utilisation , turnover and profits , "" the company said in a statement .
Output: ""(O) An(O) improvement(O) is(O) expected(O) in(O) capacity(O) utilisation(O) ,(O) turnover(O) and(O) profits(O) ,(O) ""(O) the(O) company(O) said(O) in(O) a(O) statement(O) .(O)"
13731,['BANGKOK' '1996-08-29'],"['B-LOC', 'O']",BANGKOK 1996-08-29,"['BANGKOK(B-LOC)', '1996-08-29(O)']",BANGKOK(B-LOC) 1996-08-29(O),"Input: BANGKOK 1996-08-29
Output: BANGKOK(B-LOC) 1996-08-29(O)"
2452,['3.' 'Bob' 'Kennedy' '(' 'U.S.' ')' '7:31.69'],"['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O']",3. Bob Kennedy ( U.S. ) 7:31.69,"['3.(O)', 'Bob(B-PER)', 'Kennedy(I-PER)', '((O)', 'U.S.(B-LOC)', ')(O)', '7:31.69(O)']",3.(O) Bob(B-PER) Kennedy(I-PER) ((O) U.S.(B-LOC) )(O) 7:31.69(O),"Input: 3. Bob Kennedy ( U.S. ) 7:31.69
Output: 3.(O) Bob(B-PER) Kennedy(I-PER) ((O) U.S.(B-LOC) )(O) 7:31.69(O)"
3635,['East' 'Stirling' '0' 'Albion' '1'],"['B-ORG', 'I-ORG', 'O', 'B-ORG', 'O']",East Stirling 0 Albion 1,"['East(B-ORG)', 'Stirling(I-ORG)', '0(O)', 'Albion(B-ORG)', '1(O)']",East(B-ORG) Stirling(I-ORG) 0(O) Albion(B-ORG) 1(O),"Input: East Stirling 0 Albion 1
Output: East(B-ORG) Stirling(I-ORG) 0(O) Albion(B-ORG) 1(O)"
4504,"['284' 'D.A.' 'Weibring' '73' '69' '74' '68' ',' 'Tim' 'Herron' '70' '67'
 '75' '72' ',' 'Mark']","['O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER']","284 D.A. Weibring 73 69 74 68 , Tim Herron 70 67 75 72 , Mark","['284(O)', 'D.A.(B-PER)', 'Weibring(I-PER)', '73(O)', '69(O)', '74(O)', '68(O)', ',(O)', 'Tim(B-PER)', 'Herron(I-PER)', '70(O)', '67(O)', '75(O)', '72(O)', ',(O)', 'Mark(B-PER)']","284(O) D.A.(B-PER) Weibring(I-PER) 73(O) 69(O) 74(O) 68(O) ,(O) Tim(B-PER) Herron(I-PER) 70(O) 67(O) 75(O) 72(O) ,(O) Mark(B-PER)","Input: 284 D.A. Weibring 73 69 74 68 , Tim Herron 70 67 75 72 , Mark
Output: 284(O) D.A.(B-PER) Weibring(I-PER) 73(O) 69(O) 74(O) 68(O) ,(O) Tim(B-PER) Herron(I-PER) 70(O) 67(O) 75(O) 72(O) ,(O) Mark(B-PER)"
918,['unless' 'stated' ')' ':'],"['O', 'O', 'O', 'O']",unless stated ) :,"['unless(O)', 'stated(O)', ')(O)', ':(O)']",unless(O) stated(O) )(O) :(O),"Input: unless stated ) :
Output: unless(O) stated(O) )(O) :(O)"
13031,"['Year' 'A-rated' ""Gen'l"" 'Obligation' '4.45' '%' '4.40' '%' '+0.05']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Year A-rated Gen'l Obligation 4.45 % 4.40 % +0.05,"['Year(O)', 'A-rated(O)', ""Gen'l(O)"", 'Obligation(O)', '4.45(O)', '%(O)', '4.40(O)', '%(O)', '+0.05(O)']",Year(O) A-rated(O) Gen'l(O) Obligation(O) 4.45(O) %(O) 4.40(O) %(O) +0.05(O),"Input: Year A-rated Gen'l Obligation 4.45 % 4.40 % +0.05
Output: Year(O) A-rated(O) Gen'l(O) Obligation(O) 4.45(O) %(O) 4.40(O) %(O) +0.05(O)"
4749,['Heinz-Harald' 'Frentzen' '(' 'Germany' ')' 'Sauber'],"['B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'B-ORG']",Heinz-Harald Frentzen ( Germany ) Sauber,"['Heinz-Harald(B-PER)', 'Frentzen(I-PER)', '((O)', 'Germany(B-LOC)', ')(O)', 'Sauber(B-ORG)']",Heinz-Harald(B-PER) Frentzen(I-PER) ((O) Germany(B-LOC) )(O) Sauber(B-ORG),"Input: Heinz-Harald Frentzen ( Germany ) Sauber
Output: Heinz-Harald(B-PER) Frentzen(I-PER) ((O) Germany(B-LOC) )(O) Sauber(B-ORG)"
1410,"['""' 'Are' 'you' 'kidding' '?']","['O', 'O', 'O', 'O', 'O']",""" Are you kidding ?","['""(O)', 'Are(O)', 'you(O)', 'kidding(O)', '?(O)']","""(O) Are(O) you(O) kidding(O) ?(O)","Input: "" Are you kidding ?
Output: ""(O) Are(O) you(O) kidding(O) ?(O)"
